Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
30	13.0	4.725816	18.0	3.0	16.1	4.1097445	25.0	9.0	1586.3334	11510.1	300000	0.16361867	0.22360206	1.9762123	-0.3279429	0.16361155	0.22353444	1.9022772	-0.32786217	1.0947932	1.0986121	0.0019138816	-0.15904744	0.001218622	0.0012325195	0.024115957	11406.611998319626
31	15.833333	4.0173235	20.0	10.0	17.8	4.874423	26.0	10.0	1697.5	5235.4	310000	0.15639263	0.2309163	1.703966	-0.4368397	0.1563822	0.23081721	1.9092462	-0.380799	1.0977404	1.0986121	0.0018318599	-0.15119234	0.0012761466	0.0012942366	0.005512681	11776.900708198547
32	14.333333	4.1499667	21.0	7.0	14.7	2.4103942	20.0	10.0	1545.0	1681.5	320000	0.13878098	0.23447819	1.7465764	-0.4495412	0.13876744	0.23448955	1.7272063	-0.4369231	1.099931	1.0986121	0.0018682132	-0.13333288	0.0012731056	0.0012590602	-0.008243785	12033.85475564003
33	15.666667	3.3499587	21.0	10.0	16.9	3.7	24.0	9.0	1775.8334	1745.4	330000	0.13074762	0.23869534	1.5795766	-0.49177992	0.13074465	0.23870869	1.6466172	-0.4862826	1.0916113	1.0986121	0.0019032236	-0.12545241	0.0012615661	0.0012598729	0.04356299	12315.124916315079
34	15.5	4.1932487	22.0	8.0	17.5	3.8275318	27.0	15.0	1506.1666	1676.3	340000	0.14061104	0.2456309	1.7067267	-0.520787	0.14059147	0.24561593	1.577415	-0.49592626	1.100653	1.0986121	0.0020777567	-0.13543631	0.0012736626	0.0012823868	-0.0125517305	12561.87880039215
35	16.0	1.8257419	19.0	14.0	15.1	0.29999998	16.0	15.0	1889.0	1583.0	350000	0.14924355	0.24740677	1.69948	-0.5605186	0.14923792	0.24740079	1.7372751	-0.5390161	1.1011968	1.0986122	0.0020563789	-0.14412524	0.0012764427	0.0012674404	-0.01601525	12851.45475935936
36	12.285714	4.7121205	15.0	1.0	17.9	3.5341194	26.0	14.0	1378.4286	1700.0	360000	0.15277897	0.2496168	1.7510606	-0.6460326	0.15279442	0.24951722	1.847618	-0.61858904	1.0939351	1.0986121	0.002004222	-0.14737019	0.0012746861	0.0013038256	0.02899822	13112.183460474014
37	18.0	7.3484693	30.0	6.0	17.1	3.0479503	24.0	15.0	1643.8334	5020.1	370000	0.151708	0.25522012	1.7232552	-0.59931463	0.15169546	0.25514063	1.7390481	-0.6119879	1.1020045	1.0986121	0.0020521183	-0.14599253	0.0013175824	0.0013426665	-0.020953054	13470.795790195465
38	16.333334	2.1343746	19.0	13.0	17.3	3.4942808	27.0	15.0	1537.3334	4885.2	380000	0.1408172	0.25579172	1.5185196	-0.6581029	0.14081497	0.255754	1.6345243	-0.68367606	1.097478	1.0986121	0.0020496363	-0.13480137	0.0013216054	0.0013285953	0.0070657604	13812.978435754776
39	19.5	2.6299555	24.0	17.0	17.4	2.7276363	22.0	15.0	1795.1666	1669.9	390000	0.13567357	0.25938275	1.470691	-0.6991178	0.1356848	0.25932008	1.6229181	-0.72590256	1.094659	1.0986121	0.0021399716	-0.12999776	0.001313321	0.001320049	0.024366207	14096.936791181564
40	18.6	4.8414874	25.0	10.0	17.3	3.9509492	27.0	15.0	1758.6	1663.0	400000	0.13501194	0.26982942	1.630758	-0.6861734	0.13500804	0.26976126	1.5654765	-0.68935454	1.1061335	1.0986121	0.002081467	-0.12878385	0.0013515287	0.0013683183	-0.046399493	14341.758877038956
41	17.0	2.6726124	22.0	15.0	17.3	4.2906876	29.0	15.0	1593.0	11460.9	410000	0.11522211	0.27443168	1.596529	-0.6782983	0.115249604	0.27441671	1.6956671	-0.71426815	1.0945332	1.0986121	0.0021190671	-0.10879381	0.0013841613	0.0013945806	0.02527902	14911.467367649078
42	16.571428	2.1285236	20.0	14.0	19.7	5.3301034	33.0	15.0	1444.7142	3309.7	420000	0.11576525	0.27967113	1.7033428	-0.6519475	0.11577479	0.27963543	1.5913901	-0.66213715	1.1011561	1.0986121	0.0021671497	-0.109471746	0.001409339	0.001422245	-0.015665138	15228.16530418396
43	18.833334	6.5933466	30.0	10.0	19.1	3.5341194	26.0	14.0	1560.3334	1736.4	430000	0.12109771	0.28817376	1.6411339	-0.65501475	0.12110312	0.28814203	1.703771	-0.67237866	1.0924433	1.0986121	0.00220814	-0.11444113	0.0014381477	0.0014406436	0.037921008	15486.152712345123
44	18.5	1.7078252	20.0	15.0	17.4	5.517246	33.0	13.0	1688.1666	1620.6	440000	0.11995956	0.29202366	1.6202545	-0.69241893	0.11997112	0.29203835	2.0644686	-0.70120627	1.0979047	1.0986121	0.0022985279	-0.11316299	0.0015176445	0.0015193606	0.0043411865	15753.82843875885
45	19.833334	5.669117	29.0	15.0	2.1	6.2999997	21.0	0.0	1810.6666	16392.9	450000	0.12477341	0.29932743	1.6416295	-0.6687567	0.12478262	0.2992706	1.7044071	-0.6494946	1.0960115	1.0986122	0.002424663	-0.11794343	0.0015071422	0.0015270875	0.015785715	16456.0610370636
46	18.6	5.607138	29.0	14.0	21.2	5.635601	31.0	15.0	1799.0	5123.8	460000	0.12839659	0.30364218	1.7957448	-0.6488518	0.12840252	0.30362427	1.597421	-0.62237203	1.097325	1.0986121	0.0023976592	-0.12133811	0.0015133936	0.0015215669	0.0077781403	16799.817254066467
47	16.571428	2.5555062	22.0	14.0	21.6	4.90306	29.0	15.0	1461.2858	1808.6	470000	0.13164388	0.30619484	1.9043912	-0.61813986	0.13164149	0.3061598	1.9425343	-0.60229194	1.0998114	1.0986121	0.0023961982	-0.12450976	0.001518667	0.0015294532	-0.007187036	17074.163930416107
48	18.0	4.690416	28.0	12.0	21.8	4.9152822	30.0	15.0	1517.1428	1805.3	480000	0.13781506	0.31447947	1.8327605	-0.6272626	0.13780755	0.31443873	1.6151254	-0.59806526	1.0973885	1.0986121	0.0024652337	-0.13038248	0.0015279431	0.0015378774	0.0074017327	17359.041175365448
49	17.0	4.7207747	22.0	9.0	21.6	4.8414874	30.0	15.0	1458.7142	1696.1	490000	0.14299709	0.3216001	1.6399434	-0.6151339	0.14300272	0.32157683	1.6584674	-0.59184515	1.0970621	1.0986121	0.002438036	-0.13531294	0.0015307402	0.0015391136	0.009323261	17632.89376115799
50	15.857142	6.555882	26.0	3.0	19.8	6.029925	29.0	9.0	1437.5714	6714.3	500000	0.15393397	0.32863167	1.5618142	-0.59004474	0.15395726	0.3285859	1.5738118	-0.57547975	1.0966867	1.0986121	0.0025158662	-0.14624406	0.0015684138	0.0015853737	0.011523739	18045.84378027916
51	17.285715	9.48253	30.0	1.0	21.5	4.2720017	28.0	15.0	1391.4286	1725.0	510000	0.15944974	0.33804625	1.7164708	-0.59893775	0.15945707	0.3380029	1.7884849	-0.57567555	1.099049	1.0986121	0.0025493014	-0.15158086	0.0015979348	0.0016062035	-0.0025664954	18314.39492082596
52	18.166666	6.76798	30.0	8.0	21.5	5.9707623	30.0	14.0	1384.8334	3515.0	520000	0.15516038	0.3467112	1.7452198	-0.61061037	0.15516865	0.3466955	1.6646926	-0.6800224	1.1045405	1.0986121	0.0023850827	-0.14633854	0.0016432427	0.001651401	-0.035547182	18604.040962934494
53	21.333334	4.027682	28.0	15.0	21.2	5.2306786	29.0	15.0	1767.0	1813.9	530000	0.15165952	0.35649216	1.6117432	-0.654814	0.15164322	0.35644916	1.7191575	-0.61806166	1.0936612	1.0986121	0.002544558	-0.14290242	0.0016738664	0.001696268	0.029742468	18891.964655160904
54	21.666666	5.3748384	29.0	15.0	22.2	7.166589	31.0	8.0	1742.5	5158.9	540000	0.15542458	0.36033982	1.7900437	-0.6727114	0.15543233	0.360231	1.7444272	-0.6951311	1.0956023	1.0986122	0.002580218	-0.14643526	0.0016298067	0.0016689165	0.01789003	19271.073495864868
55	15.428572	3.016959	22.0	11.0	22.5	5.818075	35.0	15.0	1389.0	1771.3	550000	0.15496376	0.36873826	1.8544259	-0.7260896	0.1549803	0.3687144	1.7976747	-0.6517307	1.1006411	1.0986121	0.0026229215	-0.14576803	0.00167462	0.0016925207	-0.011985936	19538.09521842003
56	20.428572	1.3997084	22.0	18.0	22.9	6.624953	38.0	15.0	1569.1428	1843.0	560000	0.1603999	0.38125828	1.781471	-0.77890307	0.16041024	0.381186	1.7403919	-0.73858935	1.0984895	1.0986121	0.0025823445	-0.1508897	0.0016852107	0.001708242	0.0007561762	19832.189034461975
57	21.0	8.563489	30.0	4.0	22.0	4.669047	29.0	15.0	1599.1666	1738.7	570000	0.16323937	0.38448915	1.7758678	-0.76075035	0.16323632	0.3844425	1.8167871	-0.718073	1.0981567	1.0986121	0.002581065	-0.15361436	0.0016892819	0.0016984073	0.0027321752	20097.933180570602
